Fecha	Season	Jornada	Local	Visitante	Lugar	Empezar	Group	Marcador	Medio tiempo	Overtime	Penalty
2015-03-21	2015	1	Ñuñorco	EFIM	Ñuñorco	14:00		3-1	0-0	0-0	0-0
2015-03-22	2015	1	Lules	Munic. Concepción	Almirante Brown	14:00		2-2	0-0	0-0	0-0
2015-03-23	2015	1	Azuc. Argentina	Famaillá (A)	Azucarera	14:00		5-0	0-0	0-0	0-0
2015-03-28	2015	2	Munic. Concepción	Azuc. Argentina		00:00			0-0	0-0	0-0
2015-03-28	2015	2	Ñuñorco	Monteros Voley	Ñuñorco	14:00		2-0	0-0	0-0	0-0
2015-03-29	2015	2	EFIM	Lules	El Cercado	14:00		1-1	0-0	0-0	0-0
2015-03-29	2015	2	Famaillá (A)	Famaillá (B)	Famailla	14:00		1-3	0-0	0-0	0-0
2015-04-02	2015	3	Lules	Ñuñorco	Almirante Brown	00:00		2-0	0-0	0-0	0-0
2015-04-02	2015	3	Monteros Voley	Famaillá (A)	Monteros Voley	14:00		1-0	0-0	0-0	0-0
2015-04-02	2015	3	Famaillá (B)	Munic. Concepción	Famailla	14:00		2-1	0-0	0-0	0-0
2015-04-04	2015	3	Azuc. Argentina	EFIM	Azucarera	14:30			0-0	0-0	0-0
2015-04-11	2015	4	Lules	Monteros Voley	Almirante Brown	09:00		3-0	0-0	0-0	0-0
2015-04-11	2015	4	EFIM	Famaillá (B)	Soldado Maldonado	09:00		2-1	0-0	0-0	0-0
2015-04-11	2015	4	Ñuñorco	Azuc. Argentina	Ñuñorco	14:00		1-0	0-0	0-0	0-0
2015-04-11	2015	4	Munic. Concepción	Famaillá (A)	Casa Quinta	14:00		1-1	0-0	0-0	0-0
2015-04-18	2015	5	Monteros Voley	Munic. Concepción		17:00		1-1	0-0	0-0	0-0
2015-04-18	2015	5	Famaillá (A)	EFIM		17:00		1-5	0-0	0-0	0-0
2015-04-18	2015	5	Famaillá (B)	Ñuñorco		17:00		2-0	0-0	0-0	0-0
2015-04-18	2015	5	Azuc. Argentina	Lules		17:00			0-0	0-0	0-0
2015-05-02	2015	6	Lules	Famaillá (B)		17:00		1-0	0-0	0-0	0-0
2015-05-02	2015	6	Ñuñorco	Famaillá (A)		17:00		5-0	0-0	0-0	0-0
2015-05-02	2015	6	EFIM	Munic. Concepción		17:00		1-1	0-0	0-0	0-0
2015-05-03	2015	6	Azuc. Argentina	Monteros Voley		17:00		8-0	0-0	0-0	0-0
2015-05-09	2015	7	Munic. Concepción	Ñuñorco		09:00		1-1	0-0	0-0	0-0
2015-05-09	2015	7	Famaillá (B)	Azuc. Argentina		09:00		5-1	0-0	0-0	0-0
2015-05-10	2015	7	Monteros Voley	EFIM		14:00		1-6	0-0	0-0	0-0
2015-05-10	2015	7	Famaillá (A)	Lules		14:00			0-0	0-0	0-0
2015-05-24	2015	8	Munic. Concepción	Lules		00:00			0-0	0-0	0-0
2015-05-24	2015	8	Famaillá (B)	Monteros Voley		00:00			0-0	0-0	0-0
2015-05-24	2015	8	EFIM	Ñuñorco		00:00		2-1	0-0	0-0	0-0
2015-05-24	2015	8	Famaillá (A)	Azuc. Argentina		00:00			0-0	0-0	0-0
2015-05-30	2015	9	Lules	EFIM		09:00			0-0	0-0	0-0
2015-05-31	2015	9	Monteros Voley	Ñuñorco		10:00			0-0	0-0	0-0
2015-05-31	2015	9	Famaillá (B)	Famaillá (A)		10:00		1-0	0-0	0-0	0-0
2015-05-31	2015	9	Azuc. Argentina	Munic. Concepción		14:00		1-3	0-0	0-0	0-0
2015-06-06	2015	10	EFIM	Azuc. Argentina		00:00		1-0	0-0	0-0	0-0
2015-06-06	2015	10	Ñuñorco	Lules		09:00		3-1	0-0	0-0	0-0
2015-06-06	2015	10	Famaillá (A)	Monteros Voley		09:00			0-0	0-0	0-0
2015-06-07	2015	10	Munic. Concepción	Famaillá (B)		09:00		3-3	0-0	0-0	0-0
2015-06-27	2015	11	Monteros Voley	Lules		08:30			0-0	0-0	0-0
2015-06-27	2015	11	Azuc. Argentina	Ñuñorco		09:00		3-4	0-0	0-0	0-0
2015-06-27	2015	11	Famaillá (B)	EFIM		09:00		3-1	0-0	0-0	0-0
2015-06-27	2015	11	Famaillá (A)	Munic. Concepción		14:00			0-0	0-0	0-0
2015-07-04	2015	12	EFIM	Famaillá (A)	Soldado Maldonado	17:00		6-1	0-0	0-0	0-0
2015-07-04	2015	12	Ñuñorco	Famaillá (B)	Ñuñorco	17:00		1-0	0-0	0-0	0-0
2015-07-04	2015	12	Lules	Azuc. Argentina	Almirante Brown	17:00			0-0	0-0	0-0
2015-07-04	2015	12	Munic. Concepción	Monteros Voley		17:00		1-0	0-0	0-0	0-0
